Date,"User acquisition (All users, All events, Per interval, Daily): All countries / regions","User acquisition (All users, All events, Per interval, Daily): United States","User acquisition (All users, All events, Per interval, Daily): India","User acquisition (All users, All events, Per interval, Daily): Australia",Notes
"Mar 7, 2020",3,3,0,0,
"Mar 8, 2020",4,4,0,0,
"Mar 9, 2020",2,2,0,0,
"Mar 10, 2020",1,1,0,0,
"Mar 11, 2020",3,3,0,0,
"Mar 12, 2020",0,0,0,0,
"Mar 13, 2020",1,1,0,0,
"Mar 14, 2020",3,3,0,0,
"Mar 15, 2020",0,0,0,0,
"Mar 16, 2020",1,1,0,0,
"Mar 17, 2020",3,3,0,0,
"Mar 18, 2020",2,2,0,0,
"Mar 19, 2020",4,4,0,0,
"Mar 20, 2020",4,4,0,0,
"Mar 21, 2020",0,0,0,0,
"Mar 22, 2020",5,5,0,0,
"Mar 23, 2020",2,2,0,0,
"Mar 24, 2020",1,1,0,0,
"Mar 25, 2020",2,2,0,0,
"Mar 26, 2020",3,3,0,0,
"Mar 27, 2020",3,3,0,0,
"Mar 28, 2020",2,2,0,0,
"Mar 29, 2020",1,1,0,0,
"Mar 30, 2020",2,2,0,0,
"Mar 31, 2020",0,0,0,0,
"Apr 1, 2020",0,0,0,0,
"Apr 2, 2020",5,5,0,0,
"Apr 3, 2020",12,12,0,0,
"Apr 4, 2020",2,2,0,0,
"Apr 5, 2020",1,1,0,0,
"Apr 6, 2020",4,4,0,0,
"Apr 7, 2020",3,3,0,0,
"Apr 8, 2020",0,0,0,0,
"Apr 9, 2020",1,1,0,0,
"Apr 10, 2020",2,2,0,0,
"Apr 11, 2020",2,2,0,0,
"Apr 12, 2020",4,4,0,0,
"Apr 13, 2020",4,4,0,0,
"Apr 14, 2020",0,0,0,0,
"Apr 15, 2020",2,2,0,0,
"Apr 16, 2020",3,3,0,0,
"Apr 17, 2020",1,1,0,0,
"Apr 18, 2020",5,5,0,0,
"Apr 19, 2020",5,5,0,0,
"Apr 20, 2020",1,1,0,0,
"Apr 21, 2020",0,0,0,0,
"Apr 22, 2020",3,2,1,0,
"Apr 23, 2020",3,3,0,0,
"Apr 24, 2020",1,1,0,0,
"Apr 25, 2020",3,3,0,0,
"Apr 26, 2020",1,1,0,0,
"Apr 27, 2020",0,0,0,0,
"Apr 28, 2020",6,6,0,0,
"Apr 29, 2020",2,2,0,0,
"Apr 30, 2020",2,2,0,0,
"May 1, 2020",10,10,0,0,
"May 2, 2020",6,6,0,0,
"May 3, 2020",4,4,0,0,
"May 4, 2020",4,4,0,0,
"May 5, 2020",3,3,0,0,
"May 6, 2020",1,1,0,0,
"May 7, 2020",4,4,0,0,
"May 8, 2020",2,2,0,0,
"May 9, 2020",0,0,0,0,
"May 10, 2020",2,2,0,0,
"May 11, 2020",1,1,0,0,
"May 12, 2020",2,2,0,0,
"May 13, 2020",3,3,0,0,
"May 14, 2020",5,5,0,0,
"May 15, 2020",1,1,0,0,
"May 16, 2020",7,7,0,0,
"May 17, 2020",4,4,0,0,
"May 18, 2020",1,1,0,0,
"May 19, 2020",1,1,0,0,
"May 20, 2020",6,6,0,0,
"May 21, 2020",2,2,0,0,
"May 22, 2020",1,1,0,0,
"May 23, 2020",3,3,0,0,
"May 24, 2020",0,0,0,0,
"May 25, 2020",2,2,0,0,
"May 26, 2020",4,4,0,0,
"May 27, 2020",1,1,0,0,
"May 28, 2020",2,2,0,0,
"May 29, 2020",3,3,0,0,
"May 30, 2020",1,1,0,0,
"May 31, 2020",1,1,0,0,
"Jun 1, 2020",1,1,0,0,
"Jun 2, 2020",1,1,0,0,
"Jun 3, 2020",0,0,0,0,
"Jun 4, 2020",3,3,0,0,
"Jun 5, 2020",3,3,0,0,
"Jun 6, 2020",3,3,0,0,
"Jun 7, 2020",1,1,0,0,
"Jun 8, 2020",2,2,0,0,
"Jun 9, 2020",1,1,0,0,
"Jun 10, 2020",5,5,0,0,
"Jun 11, 2020",2,2,0,0,
"Jun 12, 2020",5,5,0,0,
"Jun 13, 2020",2,2,0,0,
"Jun 14, 2020",6,6,0,0,
