Date,"Installed audience (All users, Unique users, Per interval, Daily): All countries / regions","Installed audience (All users, Unique users, Per interval, Daily): United States","Installed audience (All users, Unique users, Per interval, Daily): Ethiopia","Installed audience (All users, Unique users, Per interval, Daily): India","Installed audience (All users, Unique users, Per interval, Daily): Australia",Notes
"Feb 9, 2025","1,122","1,103",1,4,1,
"Feb 10, 2025","1,121","1,103",1,3,1,
"Feb 11, 2025","1,112","1,099",1,3,1,
"Feb 12, 2025","1,098","1,083",1,4,0,
"Feb 13, 2025","1,111","1,096",1,4,0,
"Feb 14, 2025","1,108","1,090",1,4,0,
"Feb 15, 2025","1,125","1,106",1,8,0,
"Feb 16, 2025","1,117","1,101",1,5,1,
"Feb 17, 2025","1,111","1,095",1,4,1,
"Feb 18, 2025","1,112","1,093",1,4,1,
"Feb 19, 2025","1,120","1,105",1,4,1,
"Feb 20, 2025","1,122","1,104",1,5,2,
"Feb 21, 2025","1,100","1,085",1,5,1,
"Feb 22, 2025","1,118","1,105",1,4,1,
"Feb 23, 2025","1,120","1,107",1,4,1,
"Feb 24, 2025","1,135","1,119",1,4,2,
"Feb 25, 2025","1,105","1,089",1,4,1,
"Feb 26, 2025","1,115","1,096",1,4,2,
"Feb 27, 2025","1,126","1,110",1,4,1,
"Feb 28, 2025","1,110","1,093",1,4,1,
"Mar 1, 2025","1,128","1,110",1,5,1,
"Mar 2, 2025","1,132","1,116",1,5,1,
"Mar 3, 2025","1,136","1,118",1,5,1,
"Mar 4, 2025","1,137","1,119",1,4,2,
"Mar 5, 2025","1,125","1,108",1,5,2,
"Mar 6, 2025","1,128","1,112",2,4,1,
"Mar 7, 2025","1,141","1,129",1,2,2,
"Mar 8, 2025","1,123","1,113",1,2,2,
"Mar 9, 2025","1,131","1,121",2,2,1,
"Mar 10, 2025",0,0,0,0,0,
